1.106708 cert_ms23,11.1.498295 Live,12.1.700123 cert_ms30_oct19
1A15,0F45,14A2
1A16,0F46,14A3
19EE,0F1E,147B
19EF,0F1F,147C
19F0,0F20,147D
19F1,0F21,147E
19F2,0F22,147F
19F3,0F23,1480
19F4,0F24,1481
19F5,0F25,1482
19F6,0F26,1483
1958,0E82,13E5
1959,0E83,13E6
195A,0E84,13E7
1936,0E60,13C3
1937,0E61,13C4
18F6,0E20,1383
1938,0E62,13C5
1939,0E63,13C6
193A,0E64,13C7
193B,0E65,13C8
1AC0,1096,1615
1AC1,1097,1616
1AC2,1098,1617
1A70,1046,15C8
1A71,1047,15CA
1A72,1048,4221
1A73,1049,15C9
319C,3013,33BC
319D,3014,33BD
319E,3015,33BE
3181,2FF6,339D
3182,2FF7,339E
3183,2FF8,339F
3184,2FF9,33A0
3185,2FFA,33A1
31A3,301A,33C3
31A4,301B,33C4
31A5,301C,33C5
31A1,3018,33C1
1965,0E8F,13F2
31B2,3029,33D2
31B3,302A,33D3
31B4,302B,33D4
31B0,3027,33D0
31B1,3028,33D1
31B9,3030,33D9
31BA,3031,33DA
31BB,3032,33DB
05F2,0509,0537
1B52,111C,166E
1B53,111D,166F
1B54,111E,1670
19BF,0EEF,144C
19C0,0EF0,144D
19C1,0EF1,144E
19A5,0ED5,1432
19A6,0ED6,1433
19A7,0ED7,1434
19A8,0ED8,1435
19A9,0ED9,1436
1BB1,11A3,16D2
1BB2,11A4,16D3
1BB3,11A5,16D4
1BAE,11A0,16CF
1BAF,11A1,16D0
0229,013C,015A
1B9E,1190,16BF
1B9F,1191,16C0
1BA0,1192,16C1
1DA0,1398,1899
1DA1,1399,189A
1DA2,139A,189B
1DA3,139B,189C
1DA4,139C,189D
1BD7,11CA,16F9
1BD8,11CB,16FA
1BE8,11D3,1702
1BE9,11D4,1703
1BEA,11D5,1704
1BEB,11D6,1705
1BEC,11D7,1706
1BED,11D8,1707
1BEE,11D9,1708
1BEF,11DA,1709
1BF0,11DB,170A
1BF1,11DC,170B
1BF2,11DD,170C
1BF3,11DE,170D
1BF4,11DF,170E
1BF5,11E0,170F
1BF6,11E1,1710
1BF7,11E2,1711
1BF8,11E3,1712
1BF9,11E4,1713
1BFA,11E5,1714
1BFB,11E6,1715
1BFC,11E7,1716
1BFD,11E8,1717
1BFE,11E9,1718
1BFF,11EA,1719
1C00,11EB,171A
1C01,11EC,171B
1C02,11ED,171C
1C03,11EE,171D
1C04,11EF,171E
1C05,11F0,171F
1C06,11F1,1720
1C07,11F2,1721
1C08,11F3,1722
1C09,11F4,1723
1C0A,11F5,1724
1C0B,11F6,1725
1C0C,11F7,1726
1C0D,11F8,1727
1C0E,11F9,1728
1C0F,11FA,1729
1C10,11FB,172A
1C11,11FC,172B
1C12,11FD,172C
1C13,11FE,172D
1C14,11FF,172E
1C15,1200,172F
1C16,1201,1730
1C17,1202,1731
1C18,1203,1732
1C19,1204,1733
1C1A,1205,1734
1C1B,1206,1735
1C1C,1207,1736
1C1D,1208,1737
1C1E,1209,1738
1C1F,120A,1739
1C20,120B,173A
1C21,120C,173B
1C22,120D,173C
1C23,120E,173D
1C24,120F,173E
1C25,1210,173F
1C26,1211,1740
1C27,1212,1741
1C28,1213,1743
1475,0C95,1143
1476,0C96,1144
1477,0C97,1145
0E20,0944,0A13
0E4C,0973,0A3F
1D8A,1381,1882
1D8B,1382,1883
1D8C,1383,1884
1D8D,1384,1885
1D8E,1385,1886
1D8F,1386,1887
1D90,1387,1888
0C51,0757,0824
0C32,0738,0804
1322,0777,0845
0C48,074E,081B
1DA9,13AF,18A3
1DAA,13B0,18A4
1DAB,13B1,18A5
1DAC,13B2,18A6
1DAD,13B3,18A7
1DAE,13B4,18A8
1313,0B4E,0FF9
0C43,0749,0816
1C88,124E,177D
1C89,124F,177E
1C8A,1250,177F
1C8C,1252,1781
1C8D,1253,1782
0C47,074C,0819
1C8F,1255,1784
1D9C,1394,1895
1D9D,1395,1896
1D96,138E,188F
1D97,138F,1890
1D98,1390,1891
1BBA,11AF,16DE
1D99,1391,1892
1D9A,1392,1893
1977,0EA1,1404
1DF6,1410,18E9
1DF7,1411,18EA
1DF8,1412,18EB
1DF9,1413,18EC
059E,04B5,04DD
059F,04B6,04DE
026F,0182,01A0
1DE8,1408,18E1
1DE9,1409,18E2
1DC0,0A1B,0AEA
1DC1,13E1,18BA
1DC2,13E2,18BB
1DC3,13E3,18BC
1DC4,13E4,18BD
1DC5,13E5,18BE
1DC6,13E6,18BF
1DFF,1422,18F6
1E00,1423,18F7
1E01,1424,18F8
1E02,1425,18F9
1E03,1426,18FA
1E04,1427,18FB
1E06,1429,18FD
1E08,142B,18FF
1DC7,13E7,18C0
1CCF,129F,17C4
1DC8,13E8,18C1
1DDF,13FF,18D8
1DE0,1400,18D9
1DE1,1401,18DA
1DCF,13EF,18C8
1DD0,13F0,18C9
1DD1,13F1,18CA
1DD2,13F2,18CB
1DD3,13F3,18CC
1DD4,13F4,18CD
1DD5,13F5,18CE
1DD6,13F6,18CF
1DD7,13F7,18D0
1DD8,13F8,18D1
1DD9,13F9,18D2
1DDA,13FA,18D3
1DDE,13FE,18D7
1EE2,14DD,196A
1EE3,14DE,196B
1EE4,14DF,196C
1EE5,14E0,196D
1EE6,14E1,196E
1E77,0F66,14C3
1E78,0F68,FFFFFFFF
1E79,0F69,FFFFFFFF
1E7A,0F6A,FFFFFFFF
1E7B,0F6B,FFFFFFFF
1E7C,0F6C,FFFFFFFF
1E7D,0F6D,FFFFFFFF
1E7E,0F6E,FFFFFFFF
1E7F,0F6F,FFFFFFFF
1E80,0F70,14CD
1E81,0F71,FFFFFFFF
1E82,0F72,FFFFFFFF
1E83,0F73,FFFFFFFF
1E84,0F74,FFFFFFFF
1E85,0F75,FFFFFFFF
1E86,0F76,FFFFFFFF
1E87,0F77,FFFFFFFF
1E88,0F78,FFFFFFFF
1E89,0F79,FFFFFFFF
1E8A,0F7A,FFFFFFFF
1E8B,0F7B,FFFFFFFF
1E8C,0F7C,FFFFFFFF
1E8D,0F7D,FFFFFFFF
1E8E,0F7E,FFFFFFFF
1E8F,0F7F,FFFFFFFF
1E90,0F80,FFFFFFFF
1E91,0F81,FFFFFFFF
1E95,0F85,FFFFFFFF
1E96,0F86,FFFFFFFF
1E97,0F87,FFFFFFFF
1E98,0F88,FFFFFFFF
1E99,0F89,FFFFFFFF
1E9A,0F8A,FFFFFFFF
1E9B,0F8B,FFFFFFFF
1E9C,0F8C,FFFFFFFF
1E9D,0F8D,FFFFFFFF
1E9E,0F8E,FFFFFFFF
1E9F,0F8F,FFFFFFFF
1EA0,0F90,14EE
1EA1,0F91,FFFFFFFF
1EA2,0F92,FFFFFFFF
1EA3,0F93,FFFFFFFF
1EA4,0F94,FFFFFFFF
1EA5,0F95,FFFFFFFF
1EA6,0F96,FFFFFFFF
1EA7,0F97,FFFFFFFF
1EA8,0F98,FFFFFFFF
1EA9,0F99,FFFFFFFF
1EAA,0F9A,FFFFFFFF
1EAB,0F9B,FFFFFFFF
1EAC,0F9C,FFFFFFFF
1EAD,0F9D,FFFFFFFF
1EAE,0F9E,FFFFFFFF
1EAF,0F9F,FFFFFFFF
1EB3,0FA3,FFFFFFFF
1EB4,0FA4,FFFFFFFF
1EB5,0FA5,FFFFFFFF
1EB6,0FA6,1504
1EE9,14EC,1979
1E4D,14B5,1942
1E4E,14B6,1943
1E4F,14B7,1944
1E50,14B8,1945
1E51,14B9,1946
1E52,14BA,1947
1E53,14BB,1948
1E54,14BC,1949
1E55,14BD,194A
1E56,14BE,194B
1E57,14BF,194C
1E58,14C0,194D
1E59,14C1,194E
1E5A,14C2,194F
1E5B,14C3,1950
1E5C,14C4,1951
1E5D,14C5,1952
1E5E,14C6,1953
1E5F,14C7,1954
1E60,14C8,1955
0C33,0739,0805
1EEA,14ED,197A
1EEB,14EE,197B
1EEC,14EF,197C
1EEE,14F1,197E
1E72,14DA,1967
1A32,0F61,14BE
1E73,14DB,1968
1E61,14C9,1956
1E62,14CA,1957
1E63,14CB,1958
1E64,14CC,1959
1E65,14CD,195A
1E66,14CE,195B
1E67,14CF,195C
1E68,14D0,195D
1E69,14D1,195E
1E6A,14D2,195F
1E6B,14D3,1960
1E71,14D9,1966
1F3F,1541,19CC
1F40,1542,19CD
1F41,1543,19CE
1F42,1544,19CF
1F43,1545,19D0
1F35,1537,19C1
1F36,1538,19C2
05A4,04BB,04E3
1F37,1539,FFFFFFFF
05A5,04BC,04E4
05A6,04BD,04E5
05A7,04BE,04E6
05A8,04BF,04E7
05A9,04C0,04E8
05AA,04C1,04E9
05AB,04C2,04EA
05AC,04C3,04EB
05AD,04C4,04EC
05AE,04C5,04ED
1F38,153A,FFFFFFFF
05AF,04C6,04EE
05B0,04C7,04EF
05B1,04C8,04F0
05B2,04C9,04F1
05B4,04CB,04F3
05B5,04CC,04F4
05B6,04CD,04F5
05B7,04CE,04F6
05B8,04CF,04F7
05B9,04D0,04F8
05BA,04D1,04F9
05D3,04EA,0512
05BB,04D2,04FA
05BC,04D3,04FB
05BD,04D4,04FC
05BE,04D5,04FD
05BF,04D6,04FE
05C0,04D7,04FF
05C1,04D8,0500
05C2,04D9,0501
05C3,04DA,0502
05C4,04DB,0503
05C5,04DC,0504
05C6,04DD,0505
05C7,04DE,0506
05C8,04DF,0507
05C9,04E0,0508
05CA,04E1,0509
1F39,153B,19C6
05CB,04E2,050A
1F3A,153C,19C7
05CC,04E3,050B
05CD,04E4,050C
05CE,04E5,050D
05CF,04E6,050E
05D0,04E7,050F
05D1,04E8,0510
05D2,04E9,0511
05D4,04EB,0513
05D5,04EC,0514
05D6,04ED,0515
05D7,04EE,0516
05D8,04EF,0517
05D9,04F0,0518
05DA,04F1,0519
05B3,04CA,04F2
05DE,04F5,051D
1F3B,153D,FFFFFFFF
1F3C,153E,19C9
1F3D,153F,19CA
05DB,04F2,051A
05DC,04F3,051B
05DD,04F4,051C
1B93,115E,16B4
1B94,115F,16B5
1F10,1512,199C
1F11,1513,199D
1F12,1514,199E
1F13,1515,199F
1F14,1516,19A0
1F15,1517,19A1
1F16,1518,19A2
1F17,1519,19A3
1F18,151A,19A4
1F33,1535,19BF
1F34,1536,19C0
1F24,1526,19B0
1F25,1527,19B1
1F26,1528,19B2
1F27,1529,19B3
1F28,152A,19B4
1F29,152B,19B5
1F2A,152C,19B6
1F2B,152D,19B7
1F79,158A,1A07
1F7A,158B,1A08
1F7B,158C,1A09
1F7C,158D,1A0A
1F7D,158E,1A0B
1F76,1587,1A04
1F77,1588,1A05
1F54,1557,19E1
1F55,1558,19E2
1F56,1559,19E3
1F57,155A,19E4
1F58,155B,19E5
1F59,155C,19E6
1F5A,155D,19E7
1F5B,155E,19E8
1F5C,155F,19E9
1F5D,1560,19EA
1F5E,156E,19EB
1F5F,156F,19EC
1F60,1570,19ED
1F61,1571,19EE
1F62,1572,19EF
1F63,1573,19F0
1F64,1574,19F1
1F65,1575,19F2
1F66,1576,19F3
1F67,1577,19F4
1F68,1578,19F5
1F69,1579,19F6
1F6A,157A,19F7
1F6B,157B,19F8
1F6C,157C,19F9
1F7F,1590,1A0D
1F80,1591,1A0E
1F81,1592,1A0F
1F82,1593,1A10
1F83,1594,1A11
1F84,1595,1A12
1F85,1596,1A13
1F86,1597,1A14
1BD4,11C7,16F6
1F75,1586,1A03
1F6D,157D,19FA
1F6E,157E,19FB
1F6F,157F,19FC
1F70,1580,19FD
1F71,1581,19FE
1F72,11AC,16DB
1F73,1583,1A00
231A,17F7,1DD2
231B,17F8,1DD3
231C,17F9,1DD4
231D,17FA,1DD5
2441,17FB,1DD6
2442,17FC,1DD7
2443,17FD,FFFFFFFF
2444,17FE,FFFFFFFF
243A,17D3,1DB0
243B,17D4,1DB1
2310,17D5,1DB2
243C,17D6,1DB3
0E62,0988,0A71
243D,17D7,1DB4
243E,17D8,1DB5
243F,17D9,1DB6
244A,1804,1DE0
244B,1805,1DE1
244C,1806,1DE2
244D,1807,1DE3
244E,1808,1DE4
0E0F,0933,0A02
2311,0A16,0AE5
2312,0A17,0AE6
2313,17EF,1DCA
2314,17F0,1DCB
2315,17F1,1DCC
2316,17F2,1DCD
2317,17F3,1DCE
2318,17F4,1DCF
2319,17F5,1DD0
22FF,1809,1DE5
20D9,169A,1B6E
20DA,169B,1B6F
20DB,169C,1B70
20DC,169D,1B71
20B2,1695,1B47
20B3,1696,1B48
20B4,1697,1B49
20B5,1698,1B4A
20B6,1699,1B4B
20C0,167C,1B55
20C1,167D,1B56
20C2,167E,1B57
20C3,167F,1B58
20C4,1680,1B59
20C5,1681,1B5A
20C6,1682,1B5B
20C7,1683,1B5C
20C8,1684,1B5D
20C9,1685,1B5E
20CA,1686,1B5F
20CB,1687,1B60
20CC,1688,1B61
20DF,16A0,1B74
20E0,16A1,1B75
20E1,16A2,1B76
20E2,16A3,1B77
20E3,16A4,1B78
20E4,16A5,1B79
20D8,1694,1B6D
20CD,1689,1B62
20CE,168A,1B63
20CF,168B,1B64
20D0,168C,1B65
20D1,168D,1B66
20D2,168E,1B67
20D5,1691,1B6A
214E,1717,1BEA
214F,1718,1BEB
2150,1719,1BEC
2151,171A,1BED
2152,171B,1BEE
2131,16F6,1BCA
2132,16F7,1BCB
2133,16F8,1BCC
2134,16F9,FFFFFFFF
2135,16FA,FFFFFFFF
2136,16FB,1BD1
2137,16FC,FFFFFFFF
2101,16C6,1B9A
2102,16C7,1B9B
2103,16C8,1B9C
2104,16C9,1B9D
2105,16CA,1B9E
2155,171E,1BF1
2156,171F,1BF2
2106,16CB,1B9F
211E,16E3,1BB7
211F,16E4,1BB8
2120,16E5,1BB9
2121,16E6,1BBA
2122,16E7,1BBB
2123,16E8,1BBC
2124,16E9,1BBD
2125,16EA,1BBE
2126,16EB,1BBF
2127,16EC,1BC0
2112,16D7,1BAB
0491,03AA,03CF
2113,16D8,1BAC
2114,16D9,1BAD
2115,16DA,1BAE
2116,16DB,1BAF
2117,16DC,1BB0
2118,16DD,1BB1
2119,16DE,1BB2
211A,16DF,1BB3
211D,16E2,1BB6
1D79,1350,1871
1D7A,1351,1872
1D7B,1352,1873
1D7C,1353,1874
1D4B,1322,1842
1D4C,1323,1843
1D01,12D2,17F6
1D4D,1324,1844
1D4E,1325,1845
1D4F,1326,1846
1D50,1327,1847
1D51,1328,1848
1D52,1329,1849
1D53,132A,184A
1D54,132B,184C
1D55,132C,184D
1D56,132D,184E
1D57,132E,184F
1D58,132F,1850
1D59,1330,1851
1D5A,1331,FFFFFFFF
1D5B,1332,1853
1D5C,1333,1854
1D5D,1334,1855
1D5E,1335,1856
1D5F,1336,1857
1D60,1337,1858
1D29,1302,1822
1D2A,1303,1823
1D2B,1304,1824
1D2C,1305,1825
1D2D,1306,1826
1D40,1317,1837
1D41,1318,1838
1D42,1319,1839
1D43,131A,183A
1D44,131B,183B
1D45,131C,183C
1D2E,1307,1827
1D2F,1308,1828
1D30,1309,1829
1D31,130A,182A
1D32,130B,182B
1D33,130C,182C
1D35,130D,182D
1D36,130E,182E
1D37,130F,182F
1D38,1310,1830
3212,193D,1ED8
3213,193E,1ED9
3214,193F,1EDA
3215,1940,1EDB
3218,1943,1EDE
31FE,1928,1EC3
31FF,1929,1EC4
320D,1938,1ED3
320E,1939,1ED4
320F,193A,1ED5
3210,193B,1ED6
1C7B,123F,176F
1C7C,1240,1770
1C7D,1241,1771
1C7E,1242,1772
1C7F,1243,1773
1B95,1187,16B6
1B96,1188,16B7
1B97,1189,16B8
1B98,118A,16B9
1B99,118B,16BA
1B9A,118C,16BB
1B9B,118D,16BC
1C90,1256,1785
1C92,1258,1787
1C93,1259,1788
1C94,125A,1789
1C95,125B,178A
1BD3,11C6,16F5
1BD5,11C8,16F7
1BB4,11A6,16D5
1BB5,11A7,16D6
1BB6,11A8,16D7
1BB7,11A9,16D8
1BB8,11AA,16D9
1BB9,11AB,16DA
1BBB,11AD,16DC
1BBC,11AE,16DD
1BBD,11B0,16DF
203C,1656,1ACE
203D,1657,1ACF
203E,1658,1AD0
203F,1659,1AD1
2040,165A,1AD2
1FDD,15F7,1A6E
1FDE,15F8,1A6F
1FDF,15F9,1A70
1FE1,15FB,1A72
1FEC,1606,1A7D
1FF2,160C,1A83
1FF5,160F,1A86
1FB9,15D3,1A4A
1FBA,15D4,1A4B
1FBB,15D5,1A4C
1FBC,15D6,1A4D
1FBD,15D7,1A4E
204A,1665,1ADD
204B,1666,1ADE
204E,1669,1AE1
1FBE,15D8,1A4F
1FD7,15F1,1A68
1FD8,15F2,1A69
1FC9,15E3,1A5A
1FCA,15E4,1A5B
1FCB,15E5,1A5C
1FCC,15E6,1A5D
1FCD,15E7,1A5E
1FCE,15E8,1A5F
1FCF,15E9,1A60
1FD0,15EA,1A61
1D06,12D7,17FC
1D07,12D8,17FD
1D08,12D9,17FE
1D09,12DA,17FF
1D0A,12DB,1800
1D02,12D3,17F7
1D03,12D4,17F8
1D04,12D5,17FA
1D05,12D6,17FB
1CB1,1282,17A7
1CB2,1283,17A8
1CB3,1284,17A9
1CB4,1285,17AA
1CB5,1286,17AB
1CB6,1287,17AC
1CB7,1288,17AD
1CB8,1289,17AE
1CB9,128A,17AF
1CBA,128B,17B0
1CBB,0A1A,0AE9
1CBC,128C,17B1
1CBD,128D,17B2
1CEF,12BF,17E4
1CF0,12C0,17E5
1CF1,12C1,17E6
1CF2,12C2,17E7
1CF3,12C3,17E8
1CF4,12C4,17E9
1CD3,12A3,17C8
1CD4,12A4,17C9
1CD5,12A5,17CA
1CD6,12A6,17CB
1CD7,12A7,17CC
1CD8,12A8,17CD
1CD9,12A9,17CE
1CDA,12AA,17CF
1CDB,12AB,17D0
1CDC,12AC,17D1
2502,1907,1EA2
2503,1908,1EA3
2504,1909,1EA4
2505,190A,1EA5
2506,190B,1EA6
24B0,186C,1E43
24B1,186D,1E44
24B2,186E,1E45
24B3,186F,1E46
0441,035A,037F
24B4,1870,1E47
24B5,1871,1E48
24B6,1872,1E49
24C8,1889,1E60
24C9,188A,1E61
24CA,188B,1E62
24CB,188C,1E63
24CC,188D,1E64
250D,1914,1EAF
250E,1915,1EB0
250F,1916,1EB1
2511,1918,1EB3
2512,1919,1EB4
0C5D,0763,0830
0E71,0997,0A80
2514,191B,1EB6
249B,1859,1E31
24E4,18A9,1E84
24E5,18AA,1E85
24CD,188E,1E65
24CE,188F,1E66
24E9,18AE,1E89
24EA,18AF,1E8A
24EB,18B0,1E8B
24EC,18B1,1E8C
24CF,1890,1E67
24D0,1891,1E68
24D1,1892,1E69
24D2,1893,1E6A
24D5,1897,1E6F
24D6,1898,1E70
24D7,1899,1E71
24D8,189A,1E72
24D9,189B,1E73
24DA,189C,1E74
24DB,189D,1E75
24DC,189E,1E76
321C,3037,342D
321D,3038,342E
321B,3036,461A
2B66,2AA7,33A7
3223,303E,461C
33B3,31B1,39E0
33B4,31B2,39E1
33B5,31B3,39E2
264C,1C7E,22FC
026C,017F,019D
264D,1C7F,22FD
264E,1C80,22FE
264F,1C81,22FF
2650,1C82,2300
2651,1C83,2301
2652,1C84,2302
33BC,31BA,39E8
33BD,31BB,39E9
33BE,31BC,39EA
33D3,31D4,4645
33D4,31D5,4646
33D1,31D2,4643
33D2,31D3,4644
33E2,31E3,464F
33E3,31E4,4650
33E4,31E5,4651
33DF,31E0,464D
33E0,31E1,464E
33E1,31E2,39AF
33E7,31E8,4654
33E8,31E9,4655
33E9,31EA,4656
3354,314C,3C26
3355,314D,3C27
3356,314E,3C28
1B6B,1135,1687
3357,314F,3C29
3358,3150,3792
3353,314B,3C25
33F2,31F3,465E
33F3,31F4,465F
33EF,31F0,465B
33F0,31F1,465C
33F1,31F2,465D
33FF,3201,466B
3400,3202,466C
33FD,31FF,4669
33FE,3200,466A
3408,320A,4674
3409,320B,4675
340D,320F,4679
340E,3210,467A
3411,3213,467D
3412,3214,467E
3414,3216,4680
3415,3217,4681
3417,3219,4683
3418,321A,4684
3251,3043,3834
3252,3044,3835
3253,3045,3836
324F,3041,3832
3250,3042,3833
3268,305A,3D3E
3269,305B,3D3F
326A,305C,3D40
3275,3067,381E
3276,3068,381F
3277,3069,3820
327E,3070,37D4
327F,3071,37D5
3280,3072,37D6
3286,3078,37F8
3287,3079,37F9
3288,307A,37FA
328E,3080,37FF
328F,3081,3800
3293,3085,37E3
3294,3086,37E4
3295,3087,37E5
3296,3088,37E6
3297,3089,37E7
32A6,3098,37B3
32A7,3099,37B4
32A8,309A,37B5
32B5,30A7,37C7
32B6,30A8,37C8
32B7,30A9,37C9
32C2,30B5,37DC
32C3,30B6,37DD
32C4,30B7,37DE
32C5,30B8,37DF
32CB,30BE,384A
32CC,30BF,384B
32CD,30C0,384C
32CE,30C1,384D
32E7,30DD,3869
32FD,30F4,387F
32FE,30F5,3880
32FF,30F6,3881
3300,30F7,3882
2A9B,29D9,333A
2A9C,29DA,333B
3311,3108,3893
3317,310E,3899
3318,310F,389A
3319,3110,389B
331F,3116,38A1
3320,3117,38A2
341A,321C,4686
341B,321D,4687
341C,321E,4688
3326,311D,4620
3327,311E,4621
3328,311F,4622
3329,3120,4623
332A,3121,3906
3325,311C,461F
341E,3220,468A
341F,3221,468B
3420,3222,468C
3424,3226,4690
3425,3227,4691
342E,3230,469A
342F,3231,469B
3431,3233,469D
3432,3234,469E
339E,319C,39C8
339F,319D,39C9
33A0,319E,39CA
339C,319A,39C6
339D,319B,39C7
3389,3184,397A
338A,3185,397B
338B,3186,397C
3388,3183,3979
3434,3236,3A7E
3435,3237,3A7F
3438,323A,3A82
3439,323B,3A83
343B,323D,3A85
343C,323E,3A86
343E,3240,3A88
343F,3241,3A89
3441,3243,3A8B
3442,3244,3A8C
3444,3246,3A8E
3445,3247,3A8F
3447,3249,3A91
3448,324A,3A92
344A,324C,3A94
344B,324D,3A95
344D,324F,3A97
344E,3250,3A98
3450,3252,3A9A
3451,3253,3A9B
3455,3257,46A2
3456,3258,46A3
3457,3259,46A4
3458,325A,46A5
3459,325B,46A6
3454,3256,46A1
3473,3275,46BF
3474,3276,46C0
347E,3280,46CA
347F,3281,46CB
347D,327F,46C9
35A4,3A5D,30B3
35A6,3A5B,30AF
35A8,4C04,47A7
35AA,4A25,47A9
35AC,4C07,47AB
35AE,4C09,47AD
35B0,4C0B,47AF
35B2,4078,47B1
35B4,4C0E,47B3
35B6,4C10,47B5
35B7,3716,47B6
35BA,4C12,47B9
35FA,3AA2,4213
35FB,3AA3,4214
35FC,3AA4,4215
360D,4C49,47F0
360E,4C4A,47F1
360F,4C4B,47F2
3610,4C4C,47F3
3611,4C4D,47F4
30A7,3AF9,3457
2B20,2A5E,1E6E
361B,4C57,47FE
3626,3A92,4203
3627,3A93,4204
3628,3A94,4205
3632,3A9E,420F
3633,3A9F,4210
3634,3AA0,4211
3637,42E2,3C73
3638,42E3,3C74
3639,42E4,3C75
0EA8,09A4,0B3E
0EA9,09A5,0B3F
0EAA,09A6,0B40
0CCA,07EF,08BD
0CCB,07F0,08BE
0CCC,07F1,08BF
0EAB,09A7,0B41
0CCE,07F3,08C1
0EAC,09A8,0B42
0EAD,09A9,0B43
0CD0,07F5,08C3
0EAE,09AA,0B44
0CD2,07F7,08C5
0EAF,09AB,0B45
0EB0,09AC,0B46
0CD4,07F9,08C7
0EB1,09AD,0B47
0CD6,07FB,08C9
0CD7,07FC,08CA
0CD8,07FD,08CB
0CD9,07FE,08CC
0CDA,07FF,08CD
0EB2,09AE,0B48
0EB3,09AF,0B49
0CDB,0800,08CE
0CDF,0804,08D2
0CE0,0805,08D3
0CE1,0806,08D4
0EB4,09B0,0B4A
0CE3,0808,08D6
0EB5,09B1,0B4B
0EB6,09B2,0B4C
0CE6,080B,08D9
0EB7,09B3,0B4D
0EB8,09B4,0B4E
0EB9,09B5,0B4F
0CE8,080D,08DB
0CE9,080E,08DC
0CEA,080F,08DD
0CEB,0810,08DE
0CEC,0811,08DF
0EBA,09B6,0B50
0EBB,09B7,0B51
0CED,0812,08E0
0EBC,09B8,0B52
0CF2,0817,08E5
0CF3,0818,08E6
0CF4,0819,08E7
0EBD,09B9,0B53
0CF6,081B,08E9
0EBE,09BA,0B54
0EBF,09BB,0B55
0CF8,081D,08EB
0EC0,09BC,0B56
0CFA,081F,08ED
0EC1,09BD,0B57
0EC2,09BE,0B58
0CFC,0821,08EF
0EC3,09BF,0B59
0CFE,0823,08F1
0CFF,0824,08F2
0D00,0825,08F3
0D01,0826,08F4
0EC4,09C0,0B5A
0EC5,09C1,0B5B
0D05,082A,08F8
0D06,082B,08F9
0D07,082C,08FA
0EC6,09C2,0B5C
0EC7,09C3,0B5D
0EC8,09C4,0B5E
0D0B,0830,08FE
0EC9,09C5,0B5F
0D0D,0832,0900
0ECA,09C6,0B60
0ECB,09C7,0B61
0D0F,0834,0902
0D11,0836,0904
0D04,0829,08F7
0D12,0837,0905
0D13,0838,0906
0ECC,09C8,0B62
0ECD,09C9,0B63
0D17,083C,090A
0D18,083D,090B
0D19,083E,090C
0ECE,09CA,0B64
0D1B,0840,090E
0ECF,09CB,0B65
0ED0,09CC,0B66
0D1D,0842,0910
0ED1,09CD,0B67
0D1F,0844,0912
0ED2,09CE,0B68
0ED3,09CF,0B69
0D20,0845,0913
0ED4,09D0,0B6A
0D23,0848,0916
0D24,0849,0917
0D25,084A,0918
0D26,084B,0919
0D27,084C,091A
0ED5,09D1,0B6B
0ED6,09D2,0B6C
0D28,084D,091B
0ED7,09D3,0B6D
0D2A,084F,091D
0D2B,0850,091E
0D2C,0851,091F
0D2D,0852,0920
0D2E,0853,0921
0D2F,0854,0922
0D30,0855,0923
0D31,0856,0924
0D32,0857,0925
0D33,0858,0926
0D34,0859,0927
0D35,085A,0928
0D36,085B,0929
0D37,085C,092A
0D38,085D,092B
0D39,085E,092C
0D3A,085F,092D
0D3B,0860,092E
0D3C,0861,092F
0D3E,0863,0931
0D3F,0864,0932
0D40,0865,0933
0D41,0866,0934
0D42,0867,0935
0D43,0868,0936
0D44,0869,0937
0D45,086A,0938
0D46,086B,0939
0D47,086C,093A
0D48,086D,093B
0D49,086E,093C
0D4A,086F,093D
0E61,0987,0A70
0E4D,0974,0A40
0C87,078E,085C
0C45,074A,0817
0E67,098D,0A76
0C36,073C,0808
0C3E,0744,0810
0C3F,0745,0811
0C41,0747,0813
0E6E,0994,0A7D
0C52,0758,0825
0C54,075A,0827
0C55,075B,0828
0C56,075C,0829
0E73,0999,0A82
0C61,0767,0835
0C62,0768,0836
0C6B,0771,083F
0E76,099C,0A86
0C75,077C,0846
0E78,099E,0A88
0C71,0778,0847
0C73,077A,0849
0EDB,09D7,0B71
0EDC,09D8,0B37
0EDD,09D9,0B72
0605,051C,054A
0CBD,07CA,0898
0CBE,0707,0790
0CC6,07EB,08B9
0CC7,07EC,08BA
0CC8,07ED,08BB
0CC9,07EE,08BC
0CCD,07F2,08C0
0CCF,07F4,08C2
0CD1,07F6,08C4
0CD3,07F8,08C6
0CD5,07FA,08C8
0CDC,0801,08CF
0CDD,0802,08D0
0CDE,0803,08D1
0CE2,0807,08D5
0CE4,0809,08D7
0CE5,080A,08D8
0CE7,080C,08DA
0CEE,0813,08E1
0CEF,0814,08E2
0CF0,0815,08E3
0CF1,0816,08E4
0CF5,081A,08E8
0CF7,081C,08EA
0CF9,081E,08EC
0CFB,0820,08EE
0CFD,0822,08F0
0D02,0827,08F5
0D03,0828,08F6
0D08,082D,08FB
0D09,082E,08FC
0D0A,082F,08FD
0D0C,0831,08FF
0D0E,0833,0901
0D10,0835,0903
0D14,0839,0907
0D15,083A,0908
0D16,083B,0909
0D1A,083F,090D
0D1C,0841,090F
0D1E,0843,0911
0D21,0846,0914
0D22,0847,0915
0D29,084E,091C
0D3D,0862,0930
